Time,Community,Cases
16,Alhambra,2
16,Arcadia,1
16,Beverly Hills,1
16,Boyle Heights,5
16,Carson,1
16,City,2
16,Diamond Bar,2
16,Encino,3
16,Gardena,1
16,Glendale,2
16,Glendora,1
16,Granada Hills,3
16,Inglewood,2
16,La Mirada,2
16,Lancaster,1
16,Manhattan Beach,3
16,Melrose,2
16,Northridge,1
16,San Dimas,1
16,San Pedro,1
16,Santa Clarita and Stevenson Ranch,3
16,Santa Monica,1
16,Sherman Oaks,2
16,Silverlake,1
16,Tarzana,5
16,Torrance,2
16,Venice,1
16,West Adams,1
16,West Hills,3
16,West Hollywood,5
16,West Vernon,1
16,Westchester,1
16,Still Investigating,11
17,Alhambra,1
17,Altadena,1
17,Arcadia,1
17,Baldwin Hills,1
17,Beverly Hills,1
17,Boyle Heights,5
17,Brentwood,1
17,Carson,1
17,Culver City,2
17,Diamond Bar,2
17,Eagle Rock,1
17,Encino,5
17,Gardena,1
17,Glendale,3
17,Granada Hills,3
17,Hollywood,1
17,Hollywood Hills,2
17,Inglewood,1
17,La Mirada,3
17,Lynwood,1
17,Manhattan Beach,4
17,Mar Vista,1
17,Melrose,9
17,Monterey Park,1
17,North Hollywood,1
17,Northridge,1
17,Reseda,1
17,San Dimas,1
17,San Pedro,1
17,Santa Clarita,2
17,Santa Monica,1
17,Sherman Oaks,2
17,Silverlake,1
17,Tarzana,5
17,Torrance,1
17,Venice,2
17,West Adams,1
17,West Hills,3
17,West Hollywood,8
17,West Vernon,1
17,Westchester,2
17,Woodland Hills,2
17,Still Investigating,19
18,Alhambra,1
18,Arcadia,2
18,Beverly Hills,4
18,Carson,1
18,Culver City,2
18,Diamond Bar,2
18,Gardena,1
18,Glendale,4
18,Inglewood,1
18,La Mirada,3
18,Los Angeles - Baldwin Hills,1
18,Los Angeles - Boyle Heights,5
18,Los Angeles - Brentwood,2
18,Los Angeles - Century Palms/Cove,1
18,Los Angeles - Eagle Rock,1
18,Los Angeles - Encino,6
18,Los Angeles - Granada Hills,3
18,Los Angeles - Hollywood,5
18,Los Angeles - Hollywood Hills,2
18,Los Angeles - Mar Vista,1
18,Los Angeles - Melrose,1
18,Los Angeles - North Hollywood,2
18,Los Angeles - Northridge,1
18,Los Angeles - Reseda,1
18,Los Angeles - San Pedro,1
18,Los Angeles - Sherman Oaks,4
18,Los Angeles - Silverlake,1
18,Sylmar,1
18,Los Angeles - Tarzana,5
18,Los Angeles - Venice,4
18,Los Angeles - West Adams,1
18,Los Angeles - West Hills,3
18,Los Angeles - West Los Angeles,1
18,Los Angeles - West Vernon,1
18,Los Angeles - Westchester,2
18,Los Angeles - Woodland Hills,3
18,Lynwood,1
18,Manhattan Beach,4
18,Monterey Park,2
18,San Dimas,1
18,Santa Clarita,2
18,Santa Monica,3
18,Torrance,2
18,Walnut,1
18,West Hollywood,11
18,City of Los Angeles - Communities < 25000,32
19,Alhambra,2
19,Arcadia,2
19,Baldwin Hills,1
19,Beverly Hills,4
19,Beverlywood,2
19,Boyle Heights,5
19,Brentwood,13
19,Burbank,1
19,Calabasas,1
19,Carson,1
19,Castaic,1
19,Covina,1
19,Crestview,1
19,Culver City,3
19,Diamond Bar,2
19,Eagle Rock,1
19,East Los Angeles,1
19,Echo Park,1
19,Encino,6
19,Gardena,1
19,Glendale,4
19,Granada Hills,4
19,Hancock Park,2
19,Hawthorne,1
19,Hollywood Hills,2
19,Hollywood,5
19,Inglewood,2
19,La Mirada,3
19,Lawndale,1
19,Lomita,5
19,Lynwood,1
19,Manhattan Beach,5
19,Mar Vista,1
19,Melrose,11
19,Monterey Park,2
19,North Hollywood,3
19,Northridge,1
19,Pacific Palisades,5
19,Palms,1
19,Park LaBrea,3
19,Playa Vista,1
19,Reseda,1
19,San Dimas,1
19,San Pedro,1
19,Santa Clarita,3
19,Santa Monica Mountains,2
19,Santa Monica,2
19,Sherman Oaks,5
19,South El Monte,1
19,Stevenson Ranch,1
19,Studio City,3
19,Sylmar,1
19,Tarzana,5
19,Torrance,2
19,Tujunga,1
19,University Park,1
19,Valley Glen,1
19,Van Nuys,1
19,Venice,4
19,Vermont Knolls,1
19,Walnut,1
19,West Adams,1
19,West Hills,3
19,West Hollywood,12
19,West Los Angeles,2
19,West Vernon,1
19,Westchester,3
19,Westwood,2
19,Whittier,2
19,Woodland Hills,3
19,Under Investigation,3
20,Alhambra,3
20,Altadena,2
20,Arcadia,2
20,Baldwin Hills,1
20,Beverly Hills,5
20,Beverlywood,2
20,Boyle Heights,5
20,Brentwood,16
20,Burbank,1
20,Calabasas,1
20,Carson,3
20,Castaic,1
20,Century City,4
20,Century Palms/Cove,1
20,Covina,1
20,Crestview,1
20,Culver City,4
20,Diamond Bar,2
20,Eagle Rock,1
20,East Los Angeles,1
20,Echo Park,1
20,El Segundo,1
20,Encino,8
20,Gardena,1
20,Glendale,4
20,Granada Hills,4
20,Hancock Park,2
20,Hawthorne,2
20,Hollywood,7
20,Hollywood Hills,2
20,Inglewood,2
20,La Mirada,3
20,Lake Balboa,1
20,Lakewood,1
20,Lancaster,3
20,Lawndale,1
20,Lomita,5
20,Lynwood,1
20,Manhattan Beach,6
20,Mar Vista,3
20,Melrose,11
20,Miracle Mile,1
20,Monterey Park,2
20,North Hollywood,5
20,Northridge,1
20,Pacific Palisades,6
20,Palms,1
20,Park La Brea,4
20,Playa Vista,1
20,Redondo Beach,1
20,Reseda,2
20,San Dimas,1
20,San Fernando,1
20,San Pedro,1
20,Santa Clarita,4
20,Santa Monica,4
20,Santa Monica Mountains,2
20,Sherman Oaks,6
20,South El Monte,1
20,South Whittier,1
20,Stevenson Ranch,1
20,Studio City,3
20,Sylmar,1
20,Tarzana,6
20,Torrance,2
20,Tujunga,1
20,University Park,1
20,Valley Glen,3
20,Van Nuys,1
20,Venice,4
20,Vermont Knolls,1
20,Walnut,2
20,West Adams,1
20,West Hills,3
20,West Hollywood,15
20,West Los Angeles,3
20,West Vernon,1
20,Westchester,3
20,Westwood,5
20,Whittier,2
20,Winnetka,1
20,Woodland Hills,4
20,-  Under Investigation,39
21,Alhambra,3
21,Altadena,3
21,Arcadia,2
21,Baldwin Hills,2
21,Beverly Hills,7
21,Beverlywood,5
21,Boyle Heights,5
21,Brentwood,18
21,Burbank,1
21,Calabasas,1
21,Carson,3
21,Castaic,1
21,Century City,4
21,Century Palms/Cove,1
21,Covina,1
21,Crestview,4
21,Culver City,4
21,Del Rey,2
21,Diamond Bar,2
21,Eagle Rock,1
21,East Los Angeles,1
21,Echo Park,1
21,El Segundo,2
21,Encino,1
21,Gardena,1
21,Glendale,5
21,Granada Hills,4
21,Hancock Park,4
21,Hawthorne,2
21,Hollywood,12
21,Hollywood Hills,2
21,Inglewood,2
21,La Canada Flintridge,1
21,La Mirada,3
21,La Verne,1
21,Lake Balboa,1
21,Lakewood,1
21,Lancaster,3
21,Lawndale,1
21,Lomita,7
21,Lynwood,1
21,Manhattan Beach,7
21,Mar Vista,4
21,Melrose,12
21,Miracle Mile,1
21,Montebello,1
21,Monterey Park,3
21,North Hollywood,5
21,Northridge,1
21,Pacific Palisades,7
21,Palms,1
21,Park La Brea,4
21,Playa Vista,2
21,Redondo Beach,2
21,Reseda,3
21,San Dimas,1
21,San Fernando,1
21,San Pedro,1
21,Santa Clarita,4
21,Santa Monica,5
21,Santa Monica Mountains,3
21,Sherman Oaks,7
21,Silverlake,3
21,South El Monte,1
21,South Whittier,1
21,Stevenson Ranch,1
21,Studio City,4
21,Sun Valley,1
21,Sunland,1
21,Sylmar,1
21,Tarzana,7
21,Torrance,2
21,Tujunga,1
21,University Park,1
21,Valley Glen,6
21,Van Nuys,2
21,Venice,6
21,Vermont Knolls,1
21,Vermont Vista,1
21,Vernon Central,1
21,Walnut,1
21,West Adams,2
21,West Covina,1
21,West Hills,4
21,West Hollywood,18
21,West Los Angeles,3
21,West Vernon,2
21,Westchester,3
21,Westlake,1
21,Westwood,5
21,Whittier,2
21,Winnetka,1
21,Woodland Hills,5
22,Alhambra,3
22,Altadena,3
22,Arcadia,2
22,Athens,1
22,Baldwin Hills,3
22,Bellflower,1
22,Beverly Hills,8
22,Beverlywood,6
22,Boyle Heights,5
22,Brentwood,23
22,Burbank,2
22,Calabasas,2
22,Canoga Park,1
22,Carson,4
22,Castaic,1
22,Century City,4
22,Century Palms/Cove,1
22,Covina,1
22,Crestview,5
22,Culver City,4
22,Del Rey,2
22,Diamond Bar,2
22,Eagle Rock,1
22,East Hollywood,1
22,East Los Angeles,2
22,Echo Park,1
22,El Segundo,1
22,Encino,1
22,Gardena,1
22,Glendale,6
22,Glendora,1
22,Granada Hills,4
22,Hancock Park,5
22,Hawthorne,2
22,Hollywood,12
22,Hollywood Hills,5
22,Inglewood,3
22,La Canada Flintridge,1
22,La Mirada,3
22,La Verne,2
22,Lake Balboa,1
22,Lakewood,1
22,Lancaster,4
22,Lawndale,1
22,Lomita,8
22,Los Feliz,1
22,Lynwood,2
22,Manhattan Beach,7
22,Mar Vista,5
22,Melrose,17
22,Miracle Mile,4
22,Monterey Park,3
22,North Hollywood,5
22,Northridge,1
22,Pacific Palisades,7
22,Palms,1
22,Paramount,1
22,Park La Brea,4
22,Playa Vista,2
22,Rancho Palos Verdes,1
22,Redondo Beach,4
22,Reseda,2
22,San Dimas,1
22,San Fernando,1
22,San Pedro,1
22,Santa Clarita,4
22,Santa Monica,7
22,Santa Monica Mountains,2
22,Sherman Oaks,7
22,Silverlake,3
22,South El Monte,1
22,South Gate,1
22,South Whittier,1
22,Stevenson Ranch,1
22,Studio City,4
22,Sun Valley,1
22,Sunland,1
22,Sylmar,1
22,Tarzana,8
22,Temple,1
22,Torrance,3
22,Tujunga,1
22,University Park,1
22,Valley Glen,6
22,Van Nuys,2
22,Venice,7
22,Vermont Knolls,1
22,Vermont Vista,1
22,Vernon Central,1
22,Walnut,1
22,West Adams,1
22,West Covina,1
22,West Hills,4
22,West Hollywood,19
22,West Los Angeles,3
22,West Vernon,2
22,Westchester,3
22,Westlake,1
22,Westwood,5
22,Whittier,2
22,Winnetka,1
22,Woodland Hills,5
23,Agoura Hills,1
23,Alhambra,4
23,Altadena,5
23,Arcadia,3
23,Athens,1
23,Baldwin Hills,3
23,Bellflower,3
23,Beverly Hills,12
23,Beverlywood,7
23,Boyle Heights,5
23,Brentwood,27
23,Burbank,2
23,Calabasas,3
23,Canoga Park,2
23,Carson,6
23,Castaic,1
23,Century City,4
23,Century Palms/Cove,1
23,Covina,1
23,Crestview,6
23,Culver City,5
23,Del Rey,2
23,Diamond Bar,2
23,Duarte,1
23,Eagle Rock,2
23,East Hollywood,1
23,East Los Angeles,2
23,Echo Park,2
23,El Segundo,1
23,Encino,10
23,Exposition Park,1
23,Florence,1
23,Gardena,1
23,Glendale,9
23,Glendora,1
23,Granada Hills,5
23,Hancock Park,6
23,Hawthorne,3
23,Hollywood,14
23,Hollywood Hills,7
23,Hyde Park,1
23,Inglewood,3
23,La Canada Flintridge,2
23,La Mirada,3
23,La Verne,2
23,Lake Balboa,2
23,Lakewood,1
23,Lancaster,7
23,Lawndale,2
23,Lincoln Heights,1
23,Lomita,8
23,Los Feliz,2
23,Lynwood,2
23,Manhattan Beach,9
23,Mar Vista,6
23,Melrose,19
23,Miracle Mile,5
23,Monterey Park,3
23,North Hollywood,9
23,Northridge,1
23,Pacific Palisades,8
23,Palmdale,1
23,Palms,2
23,Paramount,2
23,Park La Brea,6
23,Playa Vista,3
23,Rancho Palos Verdes,1
23,Redondo Beach,5
23,Reseda,3
23,San Dimas,1
23,San Fernando,1
23,San Pedro,2
23,Santa Clarita,7
23,Santa Monica,12
23,Santa Monica Mountains,2
23,Sherman Oaks,8
23,Silverlake,4
23,South El Monte,1
23,South Gate,1
23,South Park,1
23,South Whittier,2
23,Stevenson Ranch,2
23,Studio City,7
23,Sun Valley,2
23,Sunland,1
23,Sylmar,1
23,Tarzana,8
23,Temple,1
23,Torrance,4
23,Tujunga,1
23,University Park,1
23,Valley Glen,7
23,Van Nuys,4
23,Venice,7
23,Vermont Knolls,1
23,Vermont Vista,1
23,Vernon Central,1
23,Walnut,1
23,West Adams,1
23,West Covina,1
23,West Hills,4
23,West Hollywood,23
23,West Los Angeles,4
23,West Vernon,2
23,Westchester,3
23,Westlake,1
23,Westwood,6
23,Whittier,2
23,Wilshire Center,1
23,Winnetka,1
23,Woodland Hills,7
24,Agoura Hills,3
24,Alhambra,5
24,Altadena,5
24,Arcadia,4
24,Athens,1
24,Baldwin Hills,3
24,Bellflower,3
24,Beverly Hills,12
24,Beverlywood,7
24,Boyle Heights,5
24,Brentwood,31
24,Burbank,2
24,Calabasas,4
24,Canoga Park,2
24,Canyon Country,1
24,Carson,8
24,Castaic,2
24,Century City,6
24,Century Palms/Cove,1
24,Claremont,1
24,Covina,3
24,Crestview,7
24,Culver City,7
24,Del Rey,3
24,Diamond Bar,2
24,Downey,1
24,Duarte,1
24,Eagle Rock,2
24,East Hollywood,1
24,East Los Angeles,3
24,Echo Park,2
24,El Segundo,2
24,Encino,12
24,Exposition Park,1
24,Florence,1
24,Gardena,1
24,Glendale,10
24,Glendora,1
24,Granada Hills,5
24,Hancock Park,7
24,Harbor Gateway,1
24,Harvard Heights,1
24,Hawthorne,6
24,Highland Park,1
24,Hollywood,19
24,Hollywood Hills,8
24,Hyde Park,1
24,Inglewood,5
24,La Canada Flintridge,2
24,La Mirada,3
24,La Puente,1
24,La Verne,2
24,Lake Balboa,2
24,Lakewood,3
24,Lancaster,8
24,Lawndale,2
24,Lincoln Heights,1
24,Lomita,9
24,Los Feliz,2
24,Lynwood,2
24,Manhattan Beach,11
24,Mar Vista,6
24,Melrose,26
24,Miracle Mile,7
24,Monterey Park,3
24,North Hollywood,10
24,Northridge,2
24,Norwalk,1
24,Pacific Palisades,9
24,Palmdale,2
24,Palms,6
24,Paramount,2
24,Park La Brea,8
24,Pico,1
24,Pico Rivera,1
24,Playa Vista,4
24,Porter Ranch,1
24,Rancho Palos Verdes,3
24,Redondo Beach,7
24,Reseda,4
24,San Dimas,1
24,San Fernando,2
24,San Gabriel,1
24,San Pedro,2
24,Santa Clarita,7
24,Santa Monica,16
24,Santa Monica Mountains,2
24,Sherman Oaks,10
24,Silverlake,5
24,South El Monte,1
24,South Gate,1
24,South Park,1
24,South Whittier,2
24,Stevenson Ranch,2
24,Studio City,7
24,Sun Valley,2
24,Sunland,1
24,Sylmar,1
24,Tarzana,9
24,Temple,1
24,Torrance,5
24,Tujunga,1
24,University Park,1
24,Valley Glen,9
24,Van Nuys,4
24,Venice,8
24,Vermont Knolls,1
24,Vermont Vista,3
24,Vernon Central,1
24,Walnut,1
24,West Adams,3
24,West Covina,1
24,West Hills,4
24,West Hollywood,31
24,West Los Angeles,4
24,West Vernon,4
24,Westchester,3
24,Westlake,1
24,Westwood,6
24,Whittier,3
24,Wholesale District,1
24,Willowbrook,1
24,Wilshire Center,1
24,Winnetka,2
24,Woodland Hills,8
25,Agoura Hills,3
25,Alhambra,6
25,Altadena,5
25,Arcadia,4
25,Arleta,1
25,Athens,1
25,Baldwin Hills,3
25,Bell Gardens,3
25,Bellflower,7
25,Beverly Hills,13
25,Beverlywood,8
25,Boyle Heights,5
25,Brentwood,34
25,Burbank,3
25,Calabasas,4
25,Canoga Park,2
25,Canyon Country,1
25,Carson,9
25,Castaic,2
25,Century City,7
25,Century Palms/Cove,3
25,Claremont,1
25,Covina,3
25,Crenshaw District,2
25,Crestview,7
25,Culver City,6
25,Del Rey,5
25,Diamond Bar,2
25,Downey,5
25,Duarte,1
25,Eagle Rock,2
25,East Hollywood,1
25,East Los Angeles,3
25,Echo Park,4
